Id,Player,Nation,Pos,Team,Age,Born,Pj,Starts,Min,90s,Gls,Ast,GNP,GP,PS,CrdY,CrdR,Gls/Pj,Ast/Pj,G+A,GNP/Pj,G+A-P/Pj,Id_Team
573,Brugui,ESP,"MF,FW",Levante,26,1996,12,8,654,7.3,2,0,2,0,0,1,1,0.28,0.0,0.28,0.28,0.28,31
574,Mustapha Bundu,SLE,FW,Andorra,25,1997,9,3,282,3.1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,22
575,Aitor Buñuel,ESP,DF,Tenerife,24,1998,6,4,337,3.7,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,38
576,Esteban Burgos,ARG,DF,Malaga,30,1992,9,9,661,7.3,0,0,0,0,0,3,1,0.0,0.0,0.0,0.0,0.0,33
577,Unai Bustinza,ESP,DF,Malaga,30,1992,6,5,430,4.8,0,0,0,0,0,2,1,0.0,0.0,0.0,0.0,0.0,33
578,Erick Cabaco,URU,DF,Granada,27,1995,7,4,399,4.4,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,27
579,Jordi Calavera,ESP,DF,Lugo,27,1995,6,3,256,2.8,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,32
580,Iván Calero,ESP,"DF,MF",Cartagena,27,1995,15,15,1303,14.5,1,3,1,0,0,4,0,0.07,0.21,0.28,0.07,0.28,24
581,José Callejón,ESP,FW,Granada,35,1987,15,14,1184,13.2,2,3,2,0,0,2,0,0.15,0.23,0.38,0.15,0.38,27
582,Dani Calvo,ESP,DF,Oviedo,28,1994,10,9,838,9.3,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,34
583,Suleiman Camara Sanneh,SWE,MF,UD Ibiza,20,2001,15,10,803,8.9,2,1,2,0,0,2,0,0.22,0.11,0.34,0.22,0.34,39
584,José Campaña,ESP,MF,Levante,29,1993,6,5,400,4.4,1,0,0,1,1,2,0,0.23,0.0,0.23,0.0,0.0,31
585,Gaspar Campos,ESP,MF,Sporting Gijon,22,2000,1,0,6,0.1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,37
586,Gaspar Campos,ESP,MF,Burgos,22,2000,13,6,550,6.1,2,0,2,0,0,0,0,0.33,0.0,0.33,0.33,0.33,23
587,Víctor Campuzano,ESP,"FW,MF",Sporting Gijon,25,1997,7,3,257,2.9,1,0,1,0,0,1,0,0.35,0.0,0.35,0.35,0.35,37
588,Marco Camús,ESP,MF,Racing Sant,20,2001,15,4,536,6.0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,36
589,Álex Cantero,ESP,"MF,FW",Levante,22,2000,9,3,297,3.3,2,1,2,0,0,0,0,0.61,0.3,0.91,0.61,0.91,31
590,Marc Carbó,ESP,MF,Lugo,28,1994,7,3,281,3.1,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,32
591,Cárdenas,ESP,GK,Levante,25,1997,15,15,1350,15.0,0,1,0,0,0,3,0,0.0,0.07,0.07,0.0,0.07,31
592,Marc Cardona,ESP,FW,Las Palmas,27,1995,11,9,761,8.5,4,0,3,1,1,2,0,0.47,0.0,0.47,0.35,0.35,29
593,Sergi Cardona,ESP,DF,Las Palmas,23,1999,14,13,1145,12.7,0,2,0,0,0,2,0,0.0,0.16,0.16,0.0,0.16,29
594,Carlo,ESP,"MF,FW",Villarreal B,21,2001,10,9,786,8.7,1,1,1,0,0,3,0,0.11,0.11,0.23,0.11,0.23,40
595,José Carlos,POR,DF,UD Ibiza,24,1998,6,5,382,4.2,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,39
596,Juan Carlos,ESP,FW,Huesca,31,1991,14,8,879,9.8,3,0,2,1,1,4,0,0.31,0.0,0.31,0.2,0.2,28
597,Andrés Caro,ESP,DF,Malaga,18,2004,1,0,6,0.1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,33
598,Salifo Caropitche,GNB,FW,CD Mirandes,21,2001,1,0,3,0.0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,25
599,Sergio Carreira,ESP,"DF,MF",Villarreal B,22,2000,9,5,492,5.5,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,40
600,Jordan Carrillo,MEX,MF,Sporting Gijon,20,2001,3,1,108,1.2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,37
601,Sergio Castel,ESP,FW,UD Ibiza,27,1995,11,3,465,5.2,0,1,0,0,0,3,0,0.0,0.19,0.19,0.0,0.19,39
602,Adri Castellano,ESP,MF,Ponferradina,28,1994,2,1,79,0.9,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,35
603,Nacho Castillo,ESP,MF,CD Mirandes,22,2000,3,0,31,0.3,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,25
604,Rubén Castro,ESP,FW,Malaga,41,1981,15,14,1225,13.6,3,2,3,0,0,0,0,0.22,0.15,0.37,0.22,0.37,33
605,Karim Chaban,ALG,MF,Albacete,22,2000,1,0,2,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,21
606,Pablo Chavarría,ARG,FW,Malaga,34,1988,7,1,138,1.5,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,33
607,Pep Chavarría,ESP,DF,Zaragoza,24,1998,2,2,180,2.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,41
608,Chema,ESP,DF,Eibar,30,1992,2,0,8,0.1,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,26
609,Churripi,ESP,GK,Burgos,28,1994,14,14,1197,13.3,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,23
610,Seydouba Cissé,GUI,MF,Leganes,21,2001,12,9,738,8.2,0,1,0,0,0,2,0,0.0,0.12,0.12,0.0,0.12,30
611,Pablo Clavería,ESP,MF,Lugo,26,1996,14,7,536,6.0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,32
612,Enrique Clemente,ESP,DF,Las Palmas,23,1999,3,2,140,1.6,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,29
613,Óscar Clemente,ESP,MF,Las Palmas,23,1999,11,10,730,8.1,0,1,0,0,0,0,0,0.0,0.12,0.12,0.0,0.12,29
614,Saúl Coco,EQG,DF,Las Palmas,23,1999,11,9,778,8.6,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,29
615,Coke,ESP,DF,UD Ibiza,35,1987,5,3,317,3.5,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,39
616,Diego Collado,ESP,"MF,FW",Villarreal B,21,2001,15,14,1050,11.7,2,1,2,0,0,2,0,0.17,0.09,0.26,0.17,0.26,40
617,Aitor Córdoba,ESP,DF,Burgos,27,1995,15,15,1350,15.0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,23
618,José Corpas,ESP,MF,Eibar,31,1991,15,12,889,9.9,2,0,1,1,1,2,0,0.2,0.0,0.2,0.1,0.1,26
619,Rober Correa,ESP,DF,Eibar,30,1992,8,4,410,4.6,0,0,0,0,0,2,1,0.0,0.0,0.0,0.0,0.0,26
620,Álex Corredera,ESP,MF,Tenerife,26,1996,6,5,406,4.5,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,38
621,David Costas,ESP,DF,Oviedo,27,1995,5,5,405,4.5,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,34
622,Jaume Cuéllar,BOL,"MF,FW",Lugo,21,2001,15,11,933,10.4,1,3,1,0,0,0,0,0.1,0.29,0.39,0.1,0.39,32
623,Eric Curbelo,ESP,DF,Las Palmas,28,1994,15,13,1200,13.3,0,1,0,0,0,4,0,0.0,0.07,0.07,0.0,0.07,29
624,Curro,ESP,MF,Burgos,26,1996,9,8,644,7.2,2,0,2,0,0,0,1,0.28,0.0,0.28,0.28,0.28,23
625,Dali,ESP,FW,Racing Sant,22,2000,1,0,8,0.1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,36
626,Toni Datković,CRO,DF,Cartagena,29,1993,14,14,1260,14.0,0,2,0,0,0,7,0,0.0,0.14,0.14,0.0,0.14,24
627,Alberto Del Moral,ESP,MF,Villarreal B,22,2000,14,14,1260,14.0,0,2,0,0,0,3,0,0.0,0.14,0.14,0.0,0.14,40
628,Jorge Delgado,ESP,FW,Racing Sant,20,2002,1,0,1,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,36
629,Moisés Delgado,ESP,"DF,MF",Ponferradina,28,1994,13,9,798,8.9,0,1,0,0,0,1,0,0.0,0.11,0.11,0.0,0.11,35
630,Julián Delmás,ESP,DF,Cartagena,27,1995,5,1,150,1.7,0,1,0,0,0,0,0,0.0,0.6,0.6,0.0,0.6,24
631,Moussa Diarra,ESP,DF,Malaga,20,2002,1,1,90,1.0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,33
632,Pedro Díaz,ESP,MF,Sporting Gijon,24,1998,10,8,674,7.5,1,1,1,0,0,1,0,0.13,0.13,0.27,0.13,0.27,37
633,Víctor Díaz,ESP,DF,Granada,34,1988,9,8,760,8.4,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,27
634,Adrián Diéguez,ESP,DF,Ponferradina,26,1996,11,8,750,8.3,0,1,0,0,0,4,0,0.0,0.12,0.12,0.0,0.12,35
635,Papakouli Diop,SEN,MF,UD Ibiza,36,1986,8,5,445,4.9,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,39
636,Mohammed Djetei,CMR,DF,Albacete,28,1994,15,13,1234,13.7,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,21
637,Rubén Duarte,ESP,DF,Alaves,27,1995,12,9,845,9.4,0,2,0,0,0,6,0,0.0,0.21,0.21,0.0,0.21,20
638,Jonathan Dubasin,BEL,"FW,MF",Albacete,22,2000,15,9,886,9.8,4,2,4,0,0,3,0,0.41,0.2,0.61,0.41,0.61,21
639,Riza Durmisi,DEN,"DF,MF",Leganes,28,1994,8,4,470,5.2,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,30
640,Unai Elgezabal,ESP,"MF,DF",Burgos,29,1993,15,15,1350,15.0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,23
641,Juergen Elitim,COL,MF,Racing Sant,23,1999,11,11,875,9.7,0,0,0,0,0,4,1,0.0,0.0,0.0,0.0,0.0,36
642,Sergi Enrich,ESP,FW,Oviedo,32,1990,13,7,609,6.8,2,0,2,0,0,1,1,0.3,0.0,0.3,0.3,0.3,34
643,Ramón Enríquez,ESP,MF,Malaga,21,2001,11,3,435,4.8,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,33
644,Aarón Escandell,ESP,GK,Cartagena,27,1995,11,11,990,11.0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,24
