,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
40,Iván Balliu,al ALB,DF,Rayo Vallecano,30-315,1992,14,14,"1,260",14.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
41,Léo Baptistão,br BRA,"FW,MF",Almería,30-078,1992,11,8,564,6.3,2,1,2,0,0,3,0,0.32,0.16,0.48,0.32,0.48
42,Keidi Bare,al ALB,MF,Espanyol,25-076,1997,11,3,330,3.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
43,Kike Barja,es ESP,"MF,FW",Osasuna,25-225,1997,7,3,287,3.2,1,0,1,0,0,0,0,0.31,0.00,0.31,0.31,0.31
44,Ander Barrenetxea,es ESP,FW,Real Sociedad,20-320,2001,4,0,62,0.7,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
45,Pablo Barrios,es ESP,MF,Atlético Madrid,19-150,2003,1,0,19,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
46,Rodrigo Battaglia,ar ARG,MF,Mallorca,31-123,1991,11,7,592,6.6,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00
47,Bebé,cv CPV,FW,Rayo Vallecano,32-123,1990,4,0,60,0.7,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
48,Héctor Bellerín,es ESP,DF,Barcelona,27-238,1995,3,1,143,1.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
49,Fran Beltrán,es ESP,MF,Celta Vigo,23-282,1999,14,13,"1,123",12.5,0,1,0,0,0,1,0,0.00,0.08,0.08,0.00,0.08
50,Karim Benzema,fr FRA,FW,Real Madrid,34-328,1987,7,7,627,7.0,5,1,4,1,2,0,0,0.72,0.14,0.86,0.57,0.72
51,,,,,,,,,,,,,,,,,,,,,,
52,Yuri Berchiche,es ESP,DF,Athletic Club,32-275,1990,6,5,440,4.9,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
53,Álex Berenguer,es ESP,FW,Athletic Club,27-131,1995,13,12,"1,026",11.4,3,1,3,0,0,0,0,0.26,0.09,0.35,0.26,0.35
54,Pedro Bigas,es ESP,DF,Elche,32-058,1990,13,12,969,10.8,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00
55,El Bilal Touré,ml MLI,FW,Almería,21-040,2001,8,7,568,6.3,3,1,3,0,0,0,0,0.48,0.16,0.63,0.48,0.63
56,Blanco,es ESP,MF,Cádiz,22-112,2000,3,2,158,1.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
57,Theo Bongonda,cd COD,MF,Cádiz,26-357,1995,9,5,446,5.0,1,0,1,0,0,0,0,0.20,0.00,0.20,0.20,0.20
58,Wassim Boullif,es ESP,"DF,MF",Espanyol,17-282,2005,3,0,69,0.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
59,Yassine Bounou,ma MAR,GK,Sevilla,31-221,1991,12,12,"1,035",11.5,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
60,Lucas Boyé,ar ARG,FW,Elche,26-257,1996,12,9,730,8.1,1,2,1,0,1,2,1,0.12,0.25,0.37,0.12,0.37
61,Martin Braithwaite,dk DEN,"FW,MF",Espanyol,31-160,1991,9,9,699,7.8,3,1,3,0,0,2,1,0.39,0.13,0.52,0.39,0.52
62,Juan Brandáriz,es ESP,DF,Almería,23-255,1999,7,4,388,4.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
63,Darko Brašanac,rs SRB,MF,Osasuna,30-273,1992,12,4,485,5.4,1,1,1,0,0,3,0,0.19,0.19,0.37,0.19,0.37
64,Claudio Bravo,cl CHI,GK,Betis,39-213,1983,2,2,180,2.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
65,Ante Budimir,hr CRO,FW,Osasuna,31-113,1991,11,7,554,6.2,1,0,1,0,0,1,0,0.16,0.00,0.16,0.16,0.16
